Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
80.5535,1.81245,227.31,1,7,15,39.2107,5.07,0.09,141.955,4,0.966943,63,0.380952,2,56.1917,1.01997,44.9325,284.9,126.34,130.896,Neuron
107.747,2.4243,298.105,1,8,17,53.1977,4.98,0.09,135.482,5,0.967414,87,0.458333,2,45.4005,1.00998,37.8099,381.075,114.172,123.724,Neuron
91.4845,2.0584,276.599,1,8,17,35.0424,6.07,0.09,129.835,5,0.967995,79,0.428571,2,49.7631,1.00877,36.0844,323.56,104.579,110.649,Neuron
60.6305,1.36419,229.586,1,2,5,29.9803,4.24,0.09,128.856,2,0.926435,46,0.5,2,64.4872,1.0188,24.7238,214.437,119.54,120.923,Neuron
215.848,4.85657,307.534,1,15,31,69.5833,5.87,0.09,199.22,7,0.964724,165,0.417662,2,54.7128,1.01019,41.1729,763.405,165.92,184.996,Neuron
67.6792,1.52278,272.397,1,4,9,61.5362,6.1,0.09,111.798,3,0.969213,43,0.333333,2,55.811,1.01131,49.7678,239.366,96.4117,105.091,Neuron
96.0951,2.16214,278.41,1,7,15,44.7936,8.45,0.09,139.447,4,0.968708,69,0.380952,2,45.9888,1.01344,30.2247,339.867,115.25,126.505,Neuron
76.0281,1.71063,271.26,1,5,11,46.1459,9.34,0.09,107.119,4,0.965219,67,0.466667,2,46.7934,1.0111,33.4436,268.895,100.839,102.695,Neuron
104.201,2.34453,267.229,1,7,15,57.0551,8.03,0.09,130.504,3,0.967333,75,0.402894574,2,49.27,1.01108,32.5981,368.537,110.2,122.468,Neuron
94.3725,2.12338,253.783,1,8,17,48.6492,4.9,0.09,120.575,4,0.958794,73,0.239286,2,61.7443,1.015,43.0311,333.774,100.981,110.081,Neuron
71.4414,1.60743,286.643,1,7,15,40.3641,4.93,0.09,112.426,4,0.965301,62,0.285714,2,51.4961,1.01111,40.449,252.672,94.1053,103.466,Neuron
49.9682,1.12429,266.144,1,3,7,13.7504,6.44,0.09,123.276,3,0.894654,68,0.666667,2,70.5745,1.02631,26.006,176.726,98.83,107.162,Neuron
95.2498,2.14312,297.499,1,6,13,38.54,4.3,0.09,203.889,5,0.945537,110,0.583333,2,75.6305,1.0193,67.5956,336.877,175.15,189.768,Neuron
138.231,3.1102,298.157,1,4,9,63.101,5.48,0.09,229.772,3,0.938918,161,0.333333,2,51.531,1.01742,27.4542,488.892,194.919,214.048,Neuron
101.084,2.27438,232.768,1,10,21,49.0221,8.29,0.09,120.835,7,0.940114,150,0.714286,2,65.4365,1.02202,45.4139,357.51,99.472,113.836,Neuron
78.654,1.76971,213.964,1,7,15,29.9807,6.38,0.09,113.645,4,0.919178,131,0.166667,2,53.0259,1.02928,43.4085,278.182,93.5995,99.1996,Neuron
76.7121,1.72602,320.233,1,3,7,28.1305,4.25,0.09,155.225,2,0.95465,98,0.402894574,2,46.1796,1.01173,24.5932,271.313,133.7,145.363,Neuron
89.6733,2.01765,244.719,1,7,15,46.0457,3.14,0.09,146.245,5,0.96103,127,0.6,2,71.9166,1.01336,51.102,317.154,113.413,130.856,Neuron
140.686,3.16544,263.461,1,12,25,58.6167,5.88,0.09,132.508,5,0.966372,221,0.363131,2,56.4359,1.01132,41.5688,497.576,101.873,115.514,Neuron
101.163,2.27616,304.187,1,10,21,55.7901,4.61,0.09,123.971,5,0.948867,162,0.392063,2,63.9632,1.02136,45.6562,357.79,92.3695,114.972,Neuron
85.8283,1.93114,257.151,1,8,17,22.3798,3.93,0.09,188.236,7,0.96218,136,0.7,2,66.2508,1.01294,39.5923,303.555,164.57,174.435,Neuron
124.673,2.80515,429.377,1,8,17,60.4797,6.77,0.09,189.755,6,0.950586,130,0.539286,2,48.0318,1.01316,26.8388,440.942,160.589,174.332,Neuron
255.025,5.73807,435.992,1,9,19,126.981,7.65,0.09,276.335,6,0.943283,289,0.537037,2,59.5261,1.01457,35.1607,901.968,215.005,238.122,Neuron
170.979,3.84703,262.092,1,11,23,65.5039,9.06,0.09,178.44,5,0.945766,220,0.409091,2,49.0349,1.01399,32.4349,604.714,143.297,162.5,Neuron
188.47,4.24056,288.648,1,8,17,46.6867,6.55,0.09,253.949,6,0.945717,221,0.678571,2,52.6375,1.01851,41.3525,666.575,210.329,242.614,Neuron
98.0747,2.20668,505.098,1,5,11,60.6209,4.75,0.09,221.896,4,0.972571,71,0.5,2,47.0052,1.00977,35.3235,346.868,191.78,204.945,Neuron
84.0795,1.89179,301.239,1,6,13,38.9406,4.79,0.09,147.807,3,0.973326,76,0.2,2,31.7545,1.00852,24.9776,297.37,133.912,138.852,Neuron
146.07,3.28657,214.915,1,14,29,53.8601,5.63,0.09,129.139,6,0.945413,199,0.290842,2,53.7116,1.01552,37.3941,516.615,102.678,117.597,Neuron
111.487,2.50847,415.243,1,8,17,37.2538,4.4,0.09,144.555,7,0.938098,143,0.666667,2,62.2259,1.01686,25.6373,394.306,121.789,128.69,Neuron
78.4266,1.7646,233.384,1,5,11,42.0609,5.09,0.09,131.442,5,0.927751,90,0.8,2,65.1897,1.01649,34.2332,277.377,112.27,119.091,Neuron
203.366,4.57574,345.659,1,14,29,57.9951,7.38,0.09,225.774,8,0.961781,220,0.590136,2,41.1792,1.0116,33.7912,719.26,190.559,209.923,Neuron
108.742,2.44669,340.966,1,5,11,43.6616,7.35,0.09,244.154,4,0.940244,110,0.5,2,64.8876,1.02211,47.5976,384.596,216.12,226.879,Neuron
49.0798,1.1043,194.04,1,3,7,17.3184,4.17,0.09,115.625,2,0.944103,65,0.402894574,2,47.8925,1.01751,19.9953,173.584,99.7299,106.274,Neuron
124.178,2.794,264.641,1,8,17,50.0582,5.77,0.09,234.216,6,0.958511,154,0.678571,2,60.3134,1.01666,48.5008,439.19,181.34,199.086,Neuron
186.322,4.19225,290.646,1,10,21,54.3391,7.62,0.09,204.313,5,0.962274,189,0.344444,2,43.1742,1.01061,33.2083,658.98,179.71,190.979,Neuron
102.168,2.29878,388.356,1,8,17,29.4421,6.13,0.09,180.474,5,0.964858,120,0.392857,2,42.8298,1.01169,34.0994,361.345,159.81,171.128,Neuron
118.236,2.66032,255.305,1,12,25,46.5495,7.27,0.09,118.371,5,0.953624,131,0.330808,2,37.4103,1.01951,41.1171,418.176,96.9304,106.605,Neuron
139.872,3.14713,217.935,1,12,25,36.9005,5.77,0.09,197.521,7,0.951037,145,0.544048,2,51.0155,1.01801,37.625,494.697,171.22,189.224,Neuron
97.7972,2.20044,240.376,1,8,17,58.4121,4.13,0.09,151.2,5,0.982822,85,0.392857,2,40.0936,1.00844,32.6201,345.887,137.459,143.6,Neuron
200.779,4.51752,331.072,1,19,39,77.738,6.13,0.09,162.576,10,0.96147,243,0.6,2,59.5319,1.01421,44.2295,710.109,132.902,147.108,Neuron
62.6393,1.40938,299.791,1,7,15,45.784,3.69,0.09,111.366,4,0.969227,71,0.314286,2,44.0577,1.01148,42.9977,221.541,93.9679,98.6302,Neuron
124.284,2.79639,260.425,1,12,25,57.4223,5.96,0.09,155.054,6,0.948089,169,0.397727,2,41.6911,1.02104,27.0225,439.565,125.119,134.853,Neuron
203.865,4.58696,352.403,1,11,23,47.7273,7.04,0.09,258.492,6,0.957149,245,0.487446,2,39.545,1.01462,29.9691,721.024,218.52,244.002,Neuron
145.209,3.26719,378.065,1,8,17,60.2603,4.27,0.09,193.299,5,0.972752,144,0.642857,2,42.6226,1.00709,35.779,513.571,162.9,180.5,Neuron
194.607,4.37865,424.12,1,12,25,52.8325,7.34,0.09,196.935,7,0.958572,214,0.49053,2,42.0636,1.01299,35.7854,688.281,173.348,188.859,Neuron
158.207,3.55966,526.858,1,15,31,31.5797,9.15,0.09,146.027,7,0.951053,229,0.380794,2,33.6804,1.01596,24.9864,559.543,128.182,137.617,Neuron
227.306,5.11438,368.191,1,12,25,75.631,7.04,0.09,255.717,8,0.957095,259,0.67803,2,53.5839,1.01312,33.5185,803.929,219.068,239.088,Neuron
264.878,5.95975,404.662,1,12,25,133.768,9.15,0.09,213.935,6,0.963649,265,0.633117,2,52.5402,1.01045,35.9628,936.813,173.07,196.096,Neuron
45.7686,1.02979,268.609,1,3,7,30.0493,3.93,0.09,106.725,3,0.966623,44,0.666667,2,30.0124,1.01079,30.8105,161.873,96.4432,100.733,Neuron
96.9169,2.18063,273.388,1,6,13,71.623,7.26,0.09,109.219,4,0.93953,91,0.533333,2,54.6201,1.01624,36.2727,342.774,88.3569,96.3979,Neuron
132.926,2.99085,381.416,1,9,19,55.8707,5.96,0.09,147.065,4,0.951369,88,0.25,2,47.3942,1.00819,37.7013,470.131,126.573,130.87,Neuron
114.589,2.57825,352.242,1,7,15,92.3624,5.51,0.09,172.23,4,0.954696,137,0.285714,2,42.9668,1.01461,31.1343,405.275,142.805,161.05,Neuron
92.9323,2.09098,252.07,1,8,17,60.9528,6.74,0.09,113.291,5,0.965514,114,0.428571,2,45.4222,1.01409,38.4669,328.681,95.7234,106.032,Neuron
97.0295,2.18316,310.726,1,4,9,51.944,4.92,0.09,164.839,3,0.945907,109,0.333333,2,42.6774,1.01529,37.1394,343.172,137.95,152.81,Neuron
184.32,4.14721,339.77,1,11,23,64.3611,9.3,0.09,189.625,5,0.944285,243,0.140909,2,37.343,1.01729,27.0099,651.9,163.149,177.186,Neuron
78.5304,1.76693,322.533,1,5,11,34.4712,6.38,0.09,129.877,3,0.944279,76,0.1,2,45.6322,1.01661,36.1484,277.744,108.86,119.717,Neuron
102.943,2.31621,346.026,1,7,15,54.7467,4.87,0.09,122.056,4,0.945452,127,0.333333,2,50.2252,1.01579,33.8097,364.085,107.27,114.412,Neuron
68.8182,1.54841,268.196,1,5,11,17.3399,4.42,0.09,131.309,4,0.970888,76,0.466667,2,40.5776,1.01284,25.7608,243.394,119.68,124.19,Neuron
96.4643,2.17045,240.827,1,8,17,27.8905,6.71,0.09,111.279,5,0.962128,116,0.491071,2,51.6985,1.01294,31.8526,341.173,92.1003,103.487,Neuron
166.694,3.75063,280.302,1,12,25,39.7573,4.87,0.09,150.818,5,0.955315,201,0.468687,2,44.9485,1.01403,25.0947,589.561,129.711,140.201,Neuron
107.246,2.41303,293.46,1,9,19,44.6322,4.31,0.09,142.017,5,0.942699,154,0.37963,2,58.0073,1.01878,31.2432,379.305,120.983,131.513,Neuron
307.947,27.7153,269.218,1,8,17,77.0103,5.64,0.36,110.424,5,0.938135,131,0.491071,2,53.518,1.02372,48.753,272.285,83.5191,102.03,Neuron
429.125,38.6213,255.908,1,9,19,38.6189,4.99,0.36,112.481,5,0.922051,141,0.522222,2,66.1117,1.02173,42.0879,379.43,92.1107,102.987,Neuron
394.992,35.5493,337.679,1,4,9,35.3414,7.05,0.36,216.597,4,0.941623,127,0.75,2,62.257,1.01681,30.5997,349.25,183.98,193.467,Neuron
327.818,29.5036,315.79,1,8,17,20.3326,4.1,0.36,143.449,4,0.909467,120,0.392857,2,57.9761,1.03629,43.0731,289.855,117.61,129.799,Neuron
334.449,30.1004,346.536,1,8,17,27.9908,5.22,0.36,123.063,6,0.915145,169,0.666667,2,49.6636,1.03611,39.3,295.718,94.9398,107.169,Neuron
93.7456,2.10928,237.745,1,10,21,38.3388,4.79,0.09,97.6956,6,0.952049,178,0.444444,2,60.1357,1.01617,42.5503,331.557,87.6906,93.0127,Neuron
82.802,1.86305,240.453,1,5,11,47.0052,5.4,0.09,112.919,4,0.950712,132,0.5,2,45.079,1.01626,30.1979,292.852,97.509,104.8,Neuron
68.4303,1.53968,267.118,1,7,15,29.422,3.41,0.09,105.574,5,0.95787,118,0.419048,2,51.959,1.01641,41.751,242.023,89.651,98.4984,Neuron
212.089,4.772,431.433,1,7,15,33.0112,5.42,0.09,230.41,6,0.938789,262,0.666667,2,48.0061,1.0143,25.0226,750.111,198.1,213.272,Neuron
59.6675,1.34252,277.1,1,6,13,42.2331,5.04,0.09,112.808,4,0.933524,105,0.533333,2,67.167,1.02391,35.7484,211.03,98.159,105.566,Neuron
82.445,1.85501,262.868,1,6,13,38.8607,7.44,0.09,165.433,5,0.930163,122,0.6,2,53.755,1.0166,43.9793,291.589,138.97,150.879,Neuron
117.461,2.64287,331.358,1,8,17,59.2157,6.1,0.09,137.856,5,0.94496,197,0.489286,2,48.2267,1.01909,28.2614,415.433,110.479,129.155,Neuron
174.886,3.93493,301.657,1,14,29,43.9801,5.3,0.09,168.913,5,0.951098,241,0.402473,2,56.0341,1.01832,46.123,618.533,133.301,157.815,Neuron
91.4826,2.05836,255.09,1,4,9,25.0499,5.69,0.09,171.371,3,0.930158,129,0.333333,2,75.492,1.01508,32.6268,323.554,153.59,163.299,Neuron
111.633,2.51174,290.881,1,8,17,37.8189,7.22,0.09,138.506,4,0.943602,175,0.239286,2,48.0202,1.01737,29.6007,394.82,117.22,134.25,Neuron
119.745,2.69427,394.419,1,11,23,49.4987,3.9,0.09,127.611,7,0.948546,199,0.575758,2,61.0011,1.01765,32.5907,423.512,104.289,113.757,Neuron
90.1423,2.0282,212.841,1,6,13,48.4017,5.26,0.09,113.288,3,0.940067,142,0.2,2,56.3476,1.01996,40.3824,318.813,97.8604,104.101,Neuron
103.775,2.33494,241.036,1,7,15,41.3196,6.71,0.09,115.372,4,0.961326,162,0.166667,2,64.7154,1.01019,26.5231,367.03,101.601,110.132,Neuron
171.442,3.85744,263.735,1,13,27,58.258,6.62,0.09,222.466,6,0.941252,175,0.331868,2,45.6988,1.02315,36.4883,606.352,185.43,208.917,Neuron
77.2712,1.7386,195.185,1,5,11,39.6417,3.54,0.09,121.508,3,0.959468,73,0.4,2,58.8304,1.01234,30.3657,273.291,110.389,117.516,Neuron
49.0448,1.10351,198.811,1,4,9,33.2507,3.12,0.09,90.1585,3,0.910688,64,0.333333,2,95.2405,1.02277,45.4522,173.461,80.0178,82.1734,Neuron
99.2562,2.23327,269.93,1,8,17,19.6121,6.03,0.09,176.237,4,0.955656,116,0.184524,2,54.4317,1.01361,38.9605,351.047,147.84,165.56,Neuron
65.9024,1.4828,180.862,1,6,13,26.8097,5.85,0.09,120.023,5,0.96883,79,0.6,2,50.6382,1.01093,28.6214,233.082,105.5,112.412,Neuron
120.099,2.70222,283.623,1,12,25,26.4974,6.55,0.09,196.209,6,0.966376,126,0.350505,2,54.377,1.01342,34.7432,424.762,165.31,184.568,Neuron
95.4654,2.14797,212.092,1,6,13,52.9004,6.67,0.09,163.628,5,0.957621,98,0.583333,2,45.0689,1.01423,34.6061,337.64,137.24,147.541,Neuron
91.9544,2.06897,309.967,1,8,17,42.1717,5.93,0.09,152.119,4,0.970449,88,0.434524,2,32.4577,1.01004,27.192,325.222,127.401,142,Neuron
101.48,2.28329,298.58,1,8,17,41.7664,5.12,0.09,140.729,5,0.954883,93,0.491071,2,47.7367,1.01801,32.8916,358.911,115.381,130.891,Neuron
220.867,4.9695,309.806,1,15,31,106.433,5.62,0.09,205.911,5,0.969066,169,0.355556,2,35.9402,1.01225,28.09,781.156,162.908,199.654,Neuron
115.759,2.60459,178.354,1,11,23,44.1388,7.54,0.09,125.579,4,0.950406,96,0.248485,2,43.7887,1.02298,37.7316,409.415,104.241,111.81,Neuron
99.2395,2.23289,248.324,1,7,15,36.7596,4.22,0.09,175.371,5,0.952868,105,0.428571,2,47.6996,1.01189,42.1747,350.988,155.169,160.412,Neuron
220.432,4.95971,373.912,1,11,23,129.691,7.57,0.09,201.879,7,0.946542,217,0.638961,2,51.6502,1.01772,30.221,779.617,169.109,184.045,Neuron
148.837,3.34882,258.456,1,11,23,82.5199,7.31,0.09,189.243,6,0.948253,174,0.419192,2,67.7305,1.01794,50.4516,526.401,140.87,162.747,Neuron
109.042,2.45346,254.159,1,11,23,26.7338,4.46,0.09,101.451,5,0.946958,134,0.430303,2,40.0716,1.02079,26.3516,385.659,88.6809,93.3298,Neuron
182.624,4.10903,232.757,1,12,25,88.1804,6.09,0.09,229.004,5,0.95959,190,0.439394,2,45.5103,1.01102,30.1825,645.899,170.65,197.407,Neuron
56.0308,1.26069,308.616,1,4,9,20.0106,3.82,0.09,116.534,4,0.944871,67,0.75,2,52.0713,1.02389,40.355,198.168,101.64,108.218,Neuron
132.645,2.98452,391.483,1,7,15,43.7865,5.41,0.09,192.037,6,0.963645,154,0.666667,2,36.1997,1.01212,22.395,469.137,159.88,181.634,Neuron
