PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Class
-0.362732146,-1.666104563,0.590090003,-0.716336773,-1.771023445,0.136914322,0.12862744,0.654249832,0.324774207,0.235424562,-1.321283971,Glia
-1.3537095,0.158318106,0.817031236,0.265736209,0.406893556,0.705624456,0.210802334,-0.449782131,0.890316633,-0.135480832,-0.330028095,Glia
0.148790215,0.493454225,-0.509190025,-0.255692213,0.421010776,0.424602646,-0.189283221,0.337266384,-0.228288278,-0.154942825,0.054852187,Neuron
-1.082755207,0.864772408,-0.861175026,2.340090842,0.937921406,0.280548685,-0.116368029,-2.056788884,-0.43960501,0.031463692,2.489547369,Neuron
-1.173907742,0.153352331,-0.365224698,0.75105097,0.890988291,-0.482898574,-0.018073896,-0.82104984,0.075513095,-0.002811144,0.263228536,Glia
-0.969816793,1.322713606,-1.490076355,0.085638769,-1.43056289,-2.802563742,-0.537305639,0.261228932,-1.740431174,0.229739806,-0.042919468,Neuron
-0.629747638,0.108695064,-3.022205124,-0.575781787,-0.609111878,-1.024519783,-1.096750106,-0.468793811,-0.034705954,0.182987775,-0.693146407,Neuron
-0.59894299,-0.215421895,0.616973152,2.722009514,-1.032457857,-0.897722129,-0.170844501,0.154982015,-1.323332105,0.092991218,-0.541087023,Glia
-0.784964946,0.311386915,-1.638881386,1.363374726,-0.115881006,-0.585530584,0.007246486,-0.217504592,-0.107595264,0.529320866,-3.355388484,Neuron
0.060610496,-2.901743122,-0.572873541,-1.540083698,-1.592737186,-0.284768197,0.029268691,-0.071228967,-0.053373175,-0.633808927,-0.63624364,Glia
-0.709801307,-0.069226949,-1.649819464,-0.422833152,-0.678533704,0.029781601,-0.954776355,0.190276763,-0.236143235,-0.274753341,0.744222973,Neuron
-1.325974966,-0.115075156,-1.690007192,3.799418442,-0.267687151,0.415070082,-0.228124247,-2.146587876,-0.60705984,0.152707872,0.01879813,Neuron
1.692817727,-0.714946575,-0.254773645,-0.399517768,-0.690495517,0.581878725,-0.223306351,-0.3035576,0.014161571,-0.005484666,0.18432221,Neuron
0.267023932,0.802088023,-0.999198738,3.16614605,1.658141438,0.803600444,0.402736629,-1.450947026,0.154710082,0.942024915,-2.102634018,Neuron
-0.672703396,1.09578889,1.197486722,-0.843046995,0.002993526,0.087667677,0.203993066,0.303409471,0.246302579,-0.145793759,0.463243237,Neuron
-1.667333648,-1.183352916,0.331341417,2.012101331,-1.054705042,2.524801178,-0.096097699,-0.722118081,0.564294713,-0.918065001,-0.158679939,Glia
-1.546878637,-0.240647266,-0.164930598,1.542058277,0.661593354,0.91483608,0.125955214,0.304858281,-0.258318216,-0.444585717,0.135997923,Glia
-1.402476345,0.193222848,-0.095048934,0.629471749,1.026843502,-0.224496998,0.082459913,0.216751076,-0.141177165,-0.104640497,0.281007785,Glia
-2.399219299,-0.993176615,-1.669154603,3.252340848,0.429505369,1.636616919,-0.448473479,-2.678924211,1.247546455,-0.211900804,-1.28052384,Glia
0.163561582,2.028209364,1.987806198,-1.434160446,-0.861516592,-0.593067746,-0.081084639,0.12287846,0.120272471,0.146109247,0.059880832,Neuron
-1.538500556,1.59909756,1.455585312,0.074545069,-0.244360208,-0.651726658,-0.168713766,-0.303664327,0.158345012,-0.151896749,0.042621554,Neuron
-1.582848395,-1.094155,-0.229163064,0.385248457,-1.277213441,1.453092816,0.081573979,0.794925319,0.209436922,-0.89649191,0.252106356,Glia
-0.035438968,-2.132090636,1.660754723,0.723194289,0.55431697,-0.022835087,0.146680651,0.14740864,-0.497861951,-0.431648963,-0.302598278,Glia
-0.637608109,-1.837964729,0.073361146,0.724689318,-0.701146283,0.826529658,-0.512574749,-0.463701087,0.218269426,0.001912475,-0.206449206,Glia
-1.364285473,0.782198203,-0.063682814,0.098269623,0.229111844,-0.673533777,-0.098446365,-0.426798029,-0.081530863,-0.096489509,0.962285227,Glia
-1.271909445,0.040734086,-0.333447108,0.606318619,0.001323863,-0.175257795,-0.037018826,-0.355146934,0.008547226,-0.135183749,-0.21865054,Glia
1.105245145,1.229185055,0.042520154,-0.868984002,0.205751009,-0.728969427,-0.093929283,0.538443066,-0.08211617,0.291242986,-0.025764544,Neuron
-0.932832077,-2.790268218,-2.188437742,0.23467498,-0.87457567,0.253103779,0.55592175,0.058477323,0.233752849,0.339323276,0.137716086,Glia
-1.714955986,0.365823161,-0.119671412,2.910188135,0.986798688,1.108534615,-0.916142853,-2.164321172,0.557647079,0.062577366,-0.320046172,Neuron
5.100151044,2.325949487,-0.580950876,1.161203696,0.208180951,-0.273045434,-0.379521265,-0.53967877,0.610727689,0.033170675,-0.227139025,Neuron
-1.293903685,1.776399238,1.618081759,0.40881042,0.03265547,-0.605137039,-0.140324006,-0.070277539,-0.13657166,0.007250324,0.026245142,Neuron
-1.08080674,-0.105470774,0.673975305,-0.026258166,1.347214318,0.332760049,-0.271282021,1.288845467,0.095630325,-0.023973454,-0.108887035,Glia
0.331316655,-2.670418144,0.349293638,-2.164240609,-1.222487754,-1.257726666,0.035315207,-0.530741268,-0.11525418,-1.101386576,-0.724262834,Glia
-1.363662219,-0.441174212,-0.145954933,0.726792878,1.43326419,0.859613258,0.241523357,-0.42701479,0.668051428,-0.047079321,-0.003601098,Glia
-1.20511607,-0.091630182,-0.327802503,1.233074872,1.223877561,0.546992634,0.115624231,0.243552812,-0.279373886,-0.232090444,0.335674794,Glia
-0.591020457,1.307659676,1.092989432,-0.873587308,-0.034494038,-0.432132292,0.103404269,-0.670447333,0.649875124,0.323462974,0.15574293,Neuron
-0.85183581,-0.74054678,-0.122676518,-1.001382343,-0.755259413,-0.32935359,-0.152888887,0.692480081,0.225480252,-0.051761042,-0.304343086,Glia
-1.311343205,0.136349066,1.363232902,-0.191026489,1.296636874,0.896530403,0.420098696,1.408846039,0.266230491,-0.299523955,0.390828618,Glia
0.542611473,-0.123987058,-2.623765689,-0.001256615,-0.891245079,0.407172356,-0.586997039,-0.516160756,-0.378943046,-0.407802698,0.143141412,Neuron
0.951187604,-0.368584809,0.517375874,-0.206536367,-0.947817817,0.963912968,-0.503117162,0.196112898,-0.092849094,-0.072360184,0.274896329,Neuron
-0.977823282,-0.885202766,-0.876655011,0.110476276,-0.689399325,0.3394461,-0.175651365,-0.381721458,0.393695143,-0.064854792,-0.370576776,Glia
-0.944838094,0.0821106,-0.034856043,-1.227941419,-2.483620425,0.519432443,0.065864478,0.96363999,-0.202502957,-1.067867924,0.315829351,Neuron
0.744558678,1.00497561,0.151199749,-0.998833137,-0.742514006,0.015752521,-0.253199129,-0.277895471,-0.069737574,0.281558518,0.285258157,Neuron
-1.087413143,-0.976761679,1.274647856,0.938029583,0.347847526,1.460354279,0.253919576,-0.159666615,0.604625785,-0.169782324,-0.016379317,Glia
-1.319033931,-0.411240284,0.202378431,0.112490949,0.395364587,0.364023955,-0.27478361,-0.062881118,0.610811773,0.052855733,-0.266223555,Glia
0.169776574,1.885912494,1.096742456,-1.468851233,-0.280541674,-0.08143472,0.151755869,-0.372861107,0.252735908,0.445310812,0.373006535,Neuron
3.389012808,2.508839834,0.294767095,-0.01216183,-1.102537186,-0.055482347,-0.467230345,-0.209720328,-0.422151697,0.853843861,-0.114005829,Neuron
-0.703214798,-3.079333763,-0.623518648,1.219488369,-1.490901327,0.031731375,-0.14548754,-0.70924024,-0.172416683,0.363685751,0.28970997,Glia
-1.206515344,-0.941679185,-0.488154503,1.021655114,1.69581639,0.951539163,0.235194075,1.21823911,-0.197969799,-0.139752595,0.426716234,Glia
-1.726215799,-1.277161583,-1.971719996,0.673391923,0.457404655,0.934608935,-0.223624411,0.237920191,0.531511652,-0.257572706,-0.665846714,Glia
-1.315960083,-0.059424062,-0.515012748,0.727213043,0.310362323,-0.453989755,-0.073998729,-0.727677532,0.121348163,-0.030024588,-0.28498419,Glia
-0.812483421,0.569644515,-2.493334736,-1.544241668,-1.086298509,-1.800003149,-0.3537799,0.302166307,-0.329374059,0.200983622,0.037369832,Neuron
-0.377462705,1.198061998,-1.485248813,3.106942563,-0.937981854,-1.459391192,-0.757618632,-1.353916956,-1.576665607,0.606607334,-0.543693411,Neuron
-0.883708919,1.993822199,1.861159028,-0.192682238,0.330686169,-0.631039894,-1.002094463,-0.083540168,0.149255619,0.303467694,-0.165083473,Neuron
19.0525253,4.908040687,-2.191927523,-0.024722024,-0.691795717,4.88631453,-0.018334429,-1.845573283,-1.170425235,2.22935453,-0.679721552,Neuron
-1.142269774,-0.496365947,1.160810695,0.873792855,-0.044729396,0.589502862,-0.272210896,0.391102244,0.064422511,0.153811858,0.092982494,Glia
-1.102091485,-0.764575842,0.831173278,0.226393371,0.176220419,1.298973168,0.298015785,0.63959216,0.358065936,-0.507977345,-0.072860138,Glia
-1.358691911,0.240275829,0.229493075,1.370730387,-1.279695219,0.802954164,-0.341913655,-0.625082601,-0.215969865,-0.675196253,0.166015866,Neuron
0.733253956,1.443825336,-0.710767354,4.401771673,-0.915010609,-1.255797452,-0.280813116,-0.7186299,-1.587841352,0.304286734,-0.088650907,Neuron
-0.919810589,0.648135669,-0.972011039,4.079145033,0.131946702,0.122593674,1.05712513,-2.382586388,-0.513553433,0.476737735,-0.508195145,Neuron
-1.26229776,-0.345963587,0.438959447,0.219165536,1.294788696,0.877759169,0.339358909,0.548280572,0.490328852,-0.220492842,-0.114254915,Glia
-1.033564978,-0.069991886,0.143051144,0.707187877,-0.059497502,0.905965252,0.11779206,-1.329711586,0.668375403,-0.562939456,-0.946431586,Glia
-1.279494317,-0.056304543,-0.359314034,0.785561134,2.306179578,-0.150498632,0.221123713,0.919810624,-0.234278895,0.091205872,-0.114516148,Glia
-1.974572784,-0.028722668,-0.533321372,0.518237119,-0.052369708,0.335061342,-1.007635369,-0.645191546,0.824247405,-0.312098658,-0.386659514,Glia
0.7194748,0.051085899,-5.347665338,-2.277042351,-0.903451449,-2.044099262,-0.777284288,0.487776038,-0.418368336,0.25856886,1.158358211,Neuron
7.636848289,-17.34595645,8.323954134,-1.733735062,2.199786463,-6.533117932,-0.112934177,-2.055489252,-0.808422979,2.965448804,1.865049002,Glia
-1.481379497,-0.219688118,-1.02830097,0.841090775,0.704974744,0.057978984,0.111267598,0.240832827,-0.199337161,-0.20929621,0.029413242,Glia
-0.928394169,-1.38236705,-0.521481023,-0.337678527,-0.39255269,0.218681477,-0.115233198,0.46801354,0.18509218,-0.213249197,-0.174335981,Glia
-0.109942883,1.448332738,0.427069266,0.022532897,-0.415708177,-0.712294519,-0.295073769,-1.050759048,0.280860006,0.070175583,0.953262696,Neuron
-0.56974891,-1.361528716,0.600443112,1.756822499,1.780040427,-0.337475655,0.238324862,1.331711522,-0.972016908,0.167243918,-0.227620916,Glia
-0.449396941,-1.934218106,0.207053631,0.169706736,-1.027567113,0.469530711,-0.244674225,-0.027296355,0.131070306,0.027204968,-0.089396573,Glia
0.937727145,0.392961303,1.713174245,-0.31737584,-1.549801622,0.911992214,-0.26447663,0.125329258,-0.104263873,0.252858136,0.145677981,Neuron
-1.902682104,-0.586517472,-0.100825891,1.873033376,-0.804970918,1.902034093,-0.295868398,-1.340457391,0.900228109,-0.803418086,-0.6024455,Glia
-0.079873239,-4.038020552,0.282507303,0.044584773,0.858790666,0.048667869,-0.386469845,0.893398151,-0.090509835,0.579342551,0.4866685,Glia
1.399701421,2.851534626,0.396416645,-1.185945304,-0.268440723,-0.097130895,0.366195877,-0.294448689,-1.052401135,0.897631958,1.878196173,Neuron
1.064171584,0.922417502,0.061460296,-1.632666125,1.411814745,-0.615353698,0.231228441,-0.826012587,0.20208661,-0.230899705,-0.2903294,Neuron
-0.204723216,0.17791639,-4.320225691,-2.445714063,-1.245422898,-2.070569391,-0.407093023,0.57293484,-0.472914851,0.338073017,0.188403559,Neuron
-1.57797417,0.371276573,-0.665572478,0.547561059,1.187224123,-0.801175618,-0.010253485,-0.477144395,0.252470007,0.355128546,-0.271924734,Glia
-1.043236146,0.359766564,-0.191476636,-1.003446847,-1.632635898,0.522802838,0.453119336,-0.131049171,0.180223983,-0.817711118,0.859268857,Neuron
-0.761949265,0.543531728,1.488049234,-0.745798269,-1.61440968,1.109186727,0.159879764,0.265363009,0.208934269,-0.765947765,0.649012323,Neuron
-0.849091362,2.057983108,1.56654843,0.877162425,-0.109993326,-0.849273461,-0.189036637,0.027640901,-0.691062014,0.262468311,-0.086565139,Neuron
-1.539752638,-0.071042893,-0.435118796,0.992155844,-0.425390677,0.209144096,-0.102441254,-0.549862499,0.046092495,-0.326731107,-0.128290296,Glia
12.65058272,-6.197066753,2.107486098,3.190305393,0.989200353,-4.022761781,-0.227139164,-1.027574234,3.715899867,-1.03356767,0.844035031,Neuron
-1.155709446,1.607846496,1.508843034,-1.351615924,0.646553214,-0.762487953,0.246363528,0.574606513,0.539132393,0.148259026,0.083972727,Neuron
1.158714951,-0.339575882,-3.317648166,-2.230028616,1.46441646,-0.968879533,0.110183574,-0.373253103,-0.47308588,-0.003248204,0.387612753,Neuron
-0.267794449,0.782251698,-0.219504477,-1.058081224,-2.117180221,-0.016379637,0.019995369,0.604172006,-0.560364628,-0.401569355,-0.235742802,Neuron
-1.70319033,0.569517994,-0.132261724,0.50539948,0.320156789,-0.214526111,-0.016556584,0.06460823,-0.004263992,-0.310053971,-0.122372301,Glia
4.881866572,-0.17205486,-0.119775932,-0.884602835,-0.87968792,1.553383646,-0.118010993,-0.303280546,-1.531167232,-0.287449218,-0.340772179,Neuron
-0.336646325,0.545337117,-1.535229273,-0.87759854,-1.485133607,-0.648800679,-0.136490106,-0.568454787,-0.333618335,-0.025794922,0.936854455,Neuron
-0.987120128,-1.126047161,0.271905338,0.194882645,0.06812936,0.687247082,0.18233727,0.051255246,0.580485428,0.143825635,-0.116150331,Glia
-1.485956298,0.410431344,-0.436686211,-0.073331065,-0.920787208,-0.513743522,-0.190565897,-0.256694306,0.073045388,-0.333482571,0.14317364,Glia
6.374338409,1.104510701,-1.822201724,-0.979663172,0.721763893,0.97094691,-0.201928207,-0.4448661,-1.432420486,0.225358338,-0.239729834,Neuron
-1.443308744,1.917049861,1.255249339,1.519336608,-0.795158966,-2.087458604,-0.386737143,0.136377854,-1.510754521,0.164849719,-0.22552426,Neuron
-1.27843091,-0.008012267,-0.040825449,0.711294224,1.165224037,-0.015414897,0.10106028,0.542038579,-0.340669421,-0.292950137,0.456099331,Glia
-0.835580641,1.048162204,0.060710061,-1.502321373,-0.898217708,-0.529957411,0.217966673,-0.473408699,0.59901944,0.113919662,0.036926538,Neuron
-1.385320811,0.350648042,1.309920551,0.420888642,-0.113359403,0.814551422,0.155469302,-0.874407625,1.001986101,-0.090796502,-0.321746073,Glia
-1.229293543,0.385378808,0.235844862,2.272613342,0.518521965,-0.883124006,0.022471233,0.714133432,-1.324337996,0.078242798,-0.285371438,Glia
-0.165181557,0.975320079,0.766419075,-1.100236157,-1.613929041,1.133106224,0.140784193,0.547178794,-0.49420154,-0.706818452,1.635273675,Neuron
0.125815105,1.188597935,0.860622579,-0.908826806,0.058008211,0.01078365,0.165207082,-0.373373211,0.459544869,0.38345191,-0.040142265,Neuron
-1.069191746,-0.576385871,0.458145969,-0.051003976,-0.608554354,0.604859564,-0.340047005,0.488652335,0.252224133,-0.239738202,-0.084470894,Glia
-1.216774184,-0.425298417,-0.778213369,-0.814873012,0.182555392,-0.495365432,-0.335844347,0.113940654,0.519800526,0.136289123,-0.044736222,Glia
-0.661291303,1.366801522,1.973193618,-0.65735561,-1.507447554,0.125285869,-0.153327833,0.492114543,-0.288011107,-0.443403371,0.65303209,Neuron
-1.298900372,1.589828638,1.392091143,-0.263492574,0.19230943,-0.217617014,-0.078303818,-0.240300098,0.423458924,-0.158968073,0.07625957,Neuron
2.301386629,0.673930976,0.087230952,-2.307842631,1.741366605,-0.781905001,0.319998357,-0.545727361,-0.154990372,-0.629704221,-0.878222518,Neuron
-0.821795697,1.275725109,0.265240638,2.354528458,0.286920458,-0.275852929,-0.312622603,-1.638322573,-0.131588637,0.553836825,-0.572036837,Neuron
0.015587122,-0.310248828,0.439683069,4.465082335,-1.683296317,-1.2854803,-0.256153836,1.226607613,-2.360938392,-0.217810583,-0.335423425,Glia
-0.710549868,-0.028865823,-0.267453851,0.78201327,0.829489476,-0.297652555,0.002829577,-0.758500239,0.009099217,0.013980055,-0.353173285,Glia
0.40027031,1.823356186,1.708978997,-0.611131511,-0.926409724,-0.034920521,-0.364273771,-0.133236125,-0.214383933,0.234747984,0.160143352,Neuron
-0.801691914,0.04862077,0.673219854,0.635755469,-0.076510438,1.58029076,0.251110392,0.320804023,0.088135026,-0.618402544,0.21311547,Neuron
-1.405922949,0.488947628,0.824660439,-1.264763203,-0.606948445,0.037291734,0.237458765,1.067906481,0.478578707,-0.563229706,-0.550804657,Glia
-1.848240725,-1.935937388,-5.845887209,-2.375230856,-1.949404393,-1.696223419,-0.235361609,0.324107356,0.780144051,-0.05308868,-0.593441463,Glia
1.09506748,-6.616933029,-0.04644708,-0.685630979,0.784080098,-1.286299872,-0.358573054,0.065387714,-0.244637334,0.721089717,0.3379179,Glia
0.0232367,-3.987269673,-1.323990855,-0.561326316,0.248253212,-0.24475307,-0.319935016,0.208752349,-0.310758382,-0.566497325,0.072746328,Glia
-0.576922329,-1.769815381,1.541026236,0.433992659,-1.693600166,1.354736559,0.301263265,-0.338151362,0.330364382,0.069507748,0.203956168,Glia
-0.767874735,-0.793956254,0.016956896,-1.211756061,-2.023638316,-0.278828431,0.125180221,1.123378331,0.28581792,0.192900391,-1.685306296,Glia
-0.82144321,0.367343005,-0.622081354,0.44155758,1.305847584,0.662886878,0.189470717,-0.356356997,0.234695092,0.202524255,0.747439389,Neuron
0.861596659,2.130404762,-0.566219644,1.11419664,-0.942663502,-3.175985784,-0.330388989,0.931051753,-1.010573786,1.197245798,-1.763718584,Neuron
