Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
634.6,121.061,3.64024,5,28,61,36.14,9,0.632205,38.9597,5,0.886438,342,0.459354,1.62415,86.8116,1.05913,84.7254,302.25,29.41,21.6797,Glia
541.725,115.758,None,2,22,46,38.18,11,0.702851,30.3923,13,0.87361,247,0.669266,1.50455,86.8699,1.08572,82.9986,234.017,19.89,23.6839,Glia
780.694,158.291,None,2,31,64,43.47,15,0.684107,35.0941,13,0.892274,431,0.639845,1.65766,101.599,1.06394,93.8112,345.3,25.31,29.3948,Glia
858.075,172.09,None,2,26,54,43.41,13,0.69048,47.7516,11,0.853677,392,0.478295,1.5178,98.9947,1.08278,85.5192,376.493,40.87,30.3998,Glia
688.419,131.256,None,2,25,52,49.37,15,0.646152,43.1526,8,0.866469,402,0.503419,1.79398,88.3644,1.07293,86.5604,321.778,28.62,33.8663,Glia
1059.25,172.223,0.841076,11,50,111,49.17,15.87,0.523636,43.8764,8,0.882939,805,0.5447,1.52129,85.6549,1.06461,81.3483,597.479,33.15,31.5148,Glia
818.867,154.158,0.874475,10,29,68,37.61,17.54,0.621185,32.1863,6,0.926104,312,0.563218,1.46094,88.2569,1.03783,85.6368,386.14,29.05,24.9175,Glia
537.637,145.034,152.396,8,10,28,37.28,6,1.03887,45.1244,4,0.923718,107,0.42,2.03582,90.6291,1.04048,94.5754,166.877,24.35,23.3919,Glia
332.441,61.8673,109.262,8,6,20,47.8,11,0.654489,29.5128,2,0.908922,114,0.333333,1.52537,88.5329,1.03647,64.3117,157.235,19.67,26.8259,Glia
336.673,64.0256,88.9703,7,7,21,45.32,6,0.691197,29.9581,2,0.920021,105,0.428571,2.10363,62.8369,1.03858,62.0765,150.419,22.29,27.0029,Glia
272.175,54.2551,105.554,5,8,21,37.79,10,0.735476,33.0459,4,0.935454,79,0.4375,1.56467,58.8386,1.04399,70.4582,116.615,25.14,30.4149,Glia
157.871,27.7109,110.82,6,7,20,22.8,12,0.605383,20.1935,3,0.930327,62,0.428571,1.41996,95.0349,1.05344,85.5846,80.8684,17.69,16.2138,Glia
210.846,38.0948,106.564,7,4,15,32.93,12,0.685298,34.8304,2,0.926113,60,0.5,1.97491,92.6301,1.03435,90.0337,99.0517,23.02,24.56,Glia
167.534,25.5478,98.2099,7,4,15,28.53,14,0.564554,21.063,2,0.901167,67,0.25,1.95243,90.1415,1.07077,99.9876,93.2932,21.16,16.5125,Glia
148.363,26.2225,68.5363,5,3,11,30,11,0.675254,22.3834,2,0.925566,49,0.333333,1.37942,102.901,1.04168,91.9713,70.6561,14.55,19.6702,Glia
364.513,68.505,86.7387,6,9,24,39.34,10,0.672553,38.8205,4,0.91453,84,0.333333,1.34674,79.6854,1.04075,65.6635,165.227,24.85,31.5236,Glia
124.946,19.5933,49.6142,4,2,8,21.95,10,0.602523,20.0204,2,0.853844,41,0.5,1.61049,85.5171,1.06125,63.2916,65.6474,11.17,17.0297,Glia
258.208,43.4664,70.8908,6,5,16,40.86,14,0.604577,33.9364,2,0.894003,92,0.4,2.09304,70.2361,1.0478,64.9037,133.249,19.57,26.2966,Glia
1349.57,190.522,570.415,4,97,198,40.77,16.5,0.444063,136.061,23,0.803854,1179,0.619423,2.25799,101.504,1.14963,101.652,931.516,84.2,53.057,Glia
868.938,184.163,325.437,1,54,109,35.53,22.94,0.580791,99.0915,19,0.809612,531,0.618951,2.33154,105.719,1.16027,100.004,447.229,15.67,26.7626,Glia
1178.79,196.676,457.532,8,77,162,36.42,15.5,0.473137,96.6918,15,0.832787,909,0.645467,2.27686,103.35,1.14296,98.2504,750.66,42.08,29.3218,Glia
1913.89,300.838,982.612,14,134,282,35.42,16.5,0.461615,108.44,13,0.817054,1579,0.596401,2.35484,99.1597,1.15207,94.6503,1262.4,42.64,36.5303,Glia
845.809,99.1293,412.581,5,64,133,34.07,15.5,0.369857,84.0081,9,0.799312,911,0.455041,2.58649,106.59,1.15872,102.103,701.17,51.25,42.3618,Glia
915.787,124.322,452.389,7,71,149,33.73,15.5,0.434483,80.9045,14,0.807646,812,0.662271,2.19205,101.251,1.15155,97.3213,649.437,38.69,29.5059,Glia
