GABEL,GH,NABEL,NH,e1,e2
3.839528052,62.07,45.64427261,521.35,,
4.0202395,50.62,45.98731984,197.875,,
4.31861257,50,45.37969668,562.67,,
3.730038136,44.43,47.69468364,393.59,,
3.802602737,33.38,47.51356741,473.27,,
3.620324645,35.78,26.67273784,120.531,,
5.268528734,35.88,57.38024266,991.67,,
4.330440546,28.58,50.54545612,244.921,,
5.680482346,46.93,45.59075299,231.76,,
4.011103342,44.47,43.08518711,214.32,,
4.2921355,41.62,43.01446135,222.68,,
3.924597206,38.8,45.09479257,249.051,,
3.92038622,33.62,43.99376775,230.743,,
4.553805912,59.61,50.93480808,247.29,,
3.757180385,36.1,48.6374432,252.188,,
4.396888769,41.17,38.67948382,207.582,,
4.697716925,43.29,43.83092225,222.183,,
3.505035568,32.78,36.19409399,179.234,,
5.250614299,49.52,38.85265761,215.941,,
3.994992728,49,47.44446699,245.2,,
3.750282925,28.87,38.42230929,228.06,,
4.888084781,55.17,48.22174306,282.141,,
3.270350613,56.78,39.91450676,206.75,,
3.699925172,41.77,50.71328766,217.478,,
4.193591521,45.7,41.82354036,227.881,,
4.348946061,42.04,49.06159398,256.36,,
3.413439869,43.63,49.3589834,306.13,,
3.64825119,32.19,37.13827837,161.97,,
3.637680713,43.75,46.94325887,255.73,,
3.803709663,47.59,43.47873962,167,,
2.704750371,30.9,47.95331311,545.689,,
4.580437567,39.45,50.8623424,623.194,,
3.843629515,49.69,50.97516243,532.39,,
3.178466622,45.42,33.1148117,449.39,,
4.238153188,43.44,45.08854913,475.03,,
3.501608581,45.83,57.57554956,637.59,,
3.389635105,45.08,48.75778655,566.09,,
4.487573065,38.07,39.98476355,510.291,,
4.273134435,52.06,45.82369807,481.23,,
3.99542406,53.03,47.45670697,556.53,,
3.201206676,40.6,50.63706758,415.51,,
4.598043248,31.47,50.22154901,537.51,,
4.264051043,36.79,41.20763847,498.589,,
4.234044257,53.25,45.19651257,475.87,,
3.698735737,40.81,50.08879883,453.73,,
3.660260547,44.66,45.52419255,241.21,,
4.09373892,36.07,38.41517922,546.03,,
4.015836385,43.41,45.78952791,497.491,,
4.614336897,34.56,41.13116718,510.09,,
5.177457425,44.52,46.78062181,421.07,,
2.765430669,44.34,46.62481561,455.79,,
3.1707445,30.85,48.13909808,580.92,,
3.162932808,22.48,51.88644716,516.6,,
3.206645535,51.24,42.41826679,470.02,,
4.835031444,33.76,38.53719257,497.09,,
5.286000125,22.43,48.2413995,571.089,,
3.815547583,68.75,45.34174637,304.94,,
4.283292677,105.41,47.48534813,535.29,,
3.244404262,44.07,53.52157561,456.77,,
3.919393965,28.16,44.1108853,572.691,,
6.0935,32.72,54.20915004,558.19,,
7.412310843,49.34,48.37335917,507.9,,
5.037667868,38.9,47.64010803,431.08,,
8.444386108,38.05,54.36661667,557.03,,
4.836795361,40.25,45.21862847,503.55,,
5.688073531,51.21,54.00627999,432.53,,
5.764221833,38.24,48.82931624,565.79,,
5.729673896,39.55,40.29086353,493,,
3.397571497,57.83,50.3132234,517.07,,
